#
#  putidacyc 19.5 Genes link table generated on Tue Jun 21, 2016
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G18UU-22961		ech	
G18UU-22926			
G18UU-22925			
G18UU-22924			
G18UU-22923			
G18UU-22922			
G18UU-22913			
G18UU-22908			
G18UU-22693			
G18UU-22688			
G18UU-22623			
G18UU-21362			
G18UU-21201		glcG	
G18UU-19111			
G18UU-18611			
G18UU-18485			
G18UU-18121			
G18UU-17798			
G18UU-17778			
G18UU-17581			
G18UU-17380			
G18UU-17261			
G18UU-17260			
G18UU-17254			
G18UU-17253			
G18UU-17250			
G18UU-17249			
G18UU-17246			
G18UU-17244			
G18UU-17243			
G18UU-17242			
G18UU-17241			
G18UU-17240			
G18UU-17239			
G18UU-17237			
G18UU-17227		yidD	
G18UU-22960		atpI	
G18UU-22959		atpB	
G18UU-22958		atpE	
G18UU-22957		atpF	
G18UU-22956		atpH	
G18UU-22955		atpA	
G18UU-22954		atpG	
G18UU-22953		atpD	
G18UU-22952		atpC	
G18UU-22951		glmU	
G18UU-22950			
G18UU-22949		glmS	
G18UU-22948			
G18UU-22947			
G18UU-22946			
G18UU-22945			
G18UU-22944			
G18UU-22943			
G18UU-22942			
G18UU-22941			
G18UU-22940			
G18UU-22939			
G18UU-22938			
G18UU-22937			
G18UU-22936			
G18UU-22935			
G18UU-22934			
G18UU-22933			
G18UU-22932			
G18UU-22931			
G18UU-22930			
G18UU-22928			
G18UU-22927			
G18UU-22921		cusF	
G18UU-22920		cusA	
G18UU-22919		cusB	
G18UU-22918		czcC	
G18UU-22917			
G18UU-22916		copS	
G18UU-22915		copR-II	
G18UU-22914			
G18UU-22912		copA-II	
G18UU-22911			
G18UU-22910		copB-II	
G18UU-22909			
G18UU-22907			
G18UU-22906			
G18UU-22905			
G18UU-22904			
G18UU-22903			
G18UU-22902			
G18UU-22901			
G18UU-22900			
G18UU-22899			
G18UU-22898		lpd	
G18UU-22897			
G18UU-22896		clsA	
G18UU-22895			
G18UU-22894			
G18UU-22893			
G18UU-22892			
G18UU-22891			
G18UU-22890			
G18UU-22889		pdxY	
G18UU-22888		vdlD	
G18UU-22887			
G18UU-22886			
G18UU-22885			
G18UU-22884		uvrD	
G18UU-22883		zwf	
G18UU-22882			
G18UU-22881			
G18UU-22880			
G18UU-22879		pycA	
G18UU-22878		pycB	
G18UU-22877			
G18UU-22876			
G18UU-22875			
G18UU-22874			
G18UU-22873		potF-IV	
G18UU-22872		aphA	
G18UU-22871		oruR	
G18UU-22870		aspA	
G18UU-22869			
G18UU-22868		purE	
G18UU-22867		purK	
