G18UU-22882-MONOMER	G18UU-22882		Transcriptional regulator, RpiR family	
G18UU-22881-MONOMER	G18UU-22881		conserved protein of unknown function	
G18UU-22880-MONOMER	G18UU-22880		Transcriptional regulator, LysR family	
G18UU-22879-MONOMER	G18UU-22879		pyruvate carboxylase subunit A	
G18UU-22878-MONOMER	G18UU-22878		pyruvate carboxylase subunit B	
G18UU-22877-MONOMER	G18UU-22877		Acetyltransferase, GNAT family	
G18UU-22876-MONOMER	G18UU-22876		Acetyltransferase	
G18UU-22875-MONOMER	G18UU-22875		putative Transcriptional regulator	
G18UU-22874-MONOMER	G18UU-22874		Transcriptional regulator, GntR family	
G18UU-22873-MONOMER	G18UU-22873		putrescine-binding periplasmic protein	
G18UU-22872-MONOMER	G18UU-22872		Acetylpolyamine aminohydrolase	
G18UU-22871-MONOMER	G18UU-22871		transcriptional regulator, ornithine utilization	
G18UU-22870-MONOMER	G18UU-22870		aspartate ammonia-lyase	
G18UU-22869-MONOMER	G18UU-22869		LysR family transcriptional regulator	
G18UU-22868-MONOMER	G18UU-22868		N5-carboxyaminoimidazole ribonucleotide mutase	
G18UU-22867-MONOMER	G18UU-22867		N5-carboxyaminoimidazole ribonucleotide synthase	
G18UU-22866-MONOMER	G18UU-22866		conserved membrane protein of unknown function	
G18UU-22865-MONOMER	G18UU-22865		conserved exported protein of unknown function	
G18UU-22864-MONOMER	G18UU-22864		conserved protein of unknown function	
G18UU-22863-MONOMER	G18UU-22863		Long-chain acyl-CoA thioester hydrolase	
G18UU-22862-MONOMER	G18UU-22862		Major facilitator family transporter	
G18UU-22861-MONOMER	G18UU-22861		putative phosphate ABC transporter, periplasmic phosphate-binding protein	
G18UU-22860-MONOMER	G18UU-22860		putative phosphate transport system permease protein	
G18UU-22859-MONOMER	G18UU-22859		putative phosphate ABC transporter, permease subunit	
G18UU-22858-MONOMER	G18UU-22858		phosphate ABC transporter ATP-binding protein	
G18UU-22857-MONOMER	G18UU-22857		phosphate transport-associated protein	
G18UU-22856-MONOMER	G18UU-22856		Response regulator	
G18UU-22855-MONOMER	G18UU-22855		Peptidase, M23/M37 family	
G18UU-22854-MONOMER	G18UU-22854		putative metal ion transporter	
G18UU-22853-MONOMER	G18UU-22853		two-component system sensory histidine kinase	
G18UU-22852-MONOMER	G18UU-22852		two-component system DNA-binding transcriptional dual response regulator PhoB	
G18UU-22851-MONOMER	G18UU-22851		conserved exported protein of unknown function	
G18UU-22850-MONOMER	G18UU-22850		4-hydroxybenzoate octaprenyltransferase	
G18UU-22849-MONOMER	G18UU-22849		Probable chorismate pyruvate-lyase	
G18UU-22848-MONOMER	G18UU-22848		Rubredoxin-1	
G18UU-22847-MONOMER	G18UU-22847		Rubredoxin-NAD(+) reductase	
G18UU-22846-MONOMER	G18UU-22846		DNA-binding protein HU-alpha	
G18UU-22845-MONOMER	G18UU-22845		conserved exported protein of unknown function	
G18UU-22844-MONOMER	G18UU-22844		putative signal transduction protein	
G18UU-22843-MONOMER	G18UU-22843		junction-specific ATP-dependent DNA helicase	
G18UU-22842-MONOMER	G18UU-22842		oxidative and nitrosative stress transcriptional dual regulator	
G18UU-22841-MONOMER	G18UU-22841		Protein TonB	
G18UU-22840-MONOMER	G18UU-22840		TonB-gated outer membrane transporter - gating inner membrane protein	
G18UU-22839-MONOMER	G18UU-22839		Biopolymer transport protein ExbB	
G18UU-22838-MONOMER	G18UU-22838		Epimerase/dehydratase-related protein	
G18UU-22837-MONOMER	G18UU-22837		putative Lipoprotein	
G18UU-22836-MONOMER	G18UU-22836		aminoacrylate/iminopropionate hydrolase/deaminase	
G18UU-22835-MONOMER	G18UU-22835		bifunctional (p)ppGpp synthase/hydrolase	
G18UU-22834-MONOMER	G18UU-22834		DNA-directed RNA polymerase subunit omega	
G18UU-22833-MONOMER	G18UU-22833		Transcriptional regulator, LysR family	
G18UU-22832-MONOMER	G18UU-22832		glutamate-putrescine ligase	
G18UU-22831-MONOMER	G18UU-22831		putative glutamine amidotransferase	
G18UU-22830-MONOMER	G18UU-22830		putative Amino acid transporter	
G18UU-22829-MONOMER	G18UU-22829		deoxyguanylate kinase / guanylate kinase	
G18UU-22828-MONOMER	G18UU-22828		conserved protein of unknown function	
G18UU-22827-MONOMER	G18UU-22827		Ribonuclease PH	
G18UU-22826-MONOMER	G18UU-22826		conserved protein of unknown function	
G18UU-22825-MONOMER	G18UU-22825		Catabolite repression control protein	
G18UU-22824-MONOMER	G18UU-22824		Orotate phosphoribosyltransferase	
G18UU-22823-MONOMER	G18UU-22823		transposase	
G18UU-22822-MONOMER	G18UU-22822		Acetylglutamate kinase	
G18UU-22821-MONOMER	G18UU-22821		Phosphomannomutase/phosphoglucomutase	
G18UU-22820-MONOMER	G18UU-22820		deoxyuridine 5'-triphosphate nucleotidohydrolase	
G18UU-22819-MONOMER	G18UU-22819		coenzyme A biosynthesis bifunctional protein (fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase)	
G18UU-22818-MONOMER	G18UU-22818		UPF0758 protein PP_5284	
G18UU-22817-MONOMER	G18UU-22817		periplasmic dipeptide transport protein	
G18UU-22816-MONOMER	G18UU-22816		50S ribosomal protein L28	
G18UU-22815-MONOMER	G18UU-22815		50S ribosomal protein L33	
G18UU-22814-MONOMER	G18UU-22814		conserved protein of unknown function	
G18UU-22813-MONOMER	G18UU-22813		conserved protein of unknown function	
G18UU-22812-MONOMER	G18UU-22812		4-guanidinobutyraldehyde dehydrogenase	
G18UU-22811-MONOMER	G18UU-22811		Major facilitator family transporter	
G18UU-22810-MONOMER	G18UU-22810		Phospholipase D family protein	
G18UU-22809-MONOMER	G18UU-22809		putative regulator	
G18UU-22808-MONOMER	G18UU-22808		conserved protein of unknown function	
G18UU-22807-MONOMER	G18UU-22807		putative Oxidoreductase	
G18UU-22806-MONOMER	G18UU-22806		conserved protein of unknown function	
G18UU-22805-MONOMER	G18UU-22805		DNA-binding transcriptional dual regulator, leucine-binding	
G18UU-22804-MONOMER	G18UU-22804		D-amino-acid:quinone oxidoreductase (deaminating)	
G18UU-22803-MONOMER	G18UU-22803		alanine racemase, PLP-binding	
G18UU-22802-MONOMER	G18UU-22802		DNA-binding transcriptional repressor PuuR-putrescine	
G18UU-22801-MONOMER	G18UU-22801		putative cytochrome c5	
G18UU-22800-MONOMER	G18UU-22800		conserved protein of unknown function containing Rhs repeat-associated core domain	
G18UU-22799-MONOMER	G18UU-22799		putative acetyl-CoA hydrolase family protein	
G18UU-22798-MONOMER	G18UU-22798		Xanthine phosphoribosyltransferase	
G18UU-22797-MONOMER	G18UU-22797		helicase a single-stranded DNA dependent ATPase	
G18UU-22796-MONOMER	G18UU-22796		GGDEF domain protein	
G18UU-22795-MONOMER	G18UU-22795		Probable multidrug resistance protein NorM	
G18UU-22794-MONOMER	G18UU-22794		Transcriptional regulator, LysR family	
G18UU-22793-MONOMER	G18UU-22793		metalloprotein, putative enzyme	
G18UU-22792-MONOMER	G18UU-22792		Transcriptional regulator, LysR family	
G18UU-22791-MONOMER	G18UU-22791		L-piperidine-6-carboxylate dehydrogenase	
G18UU-22790-MONOMER	G18UU-22790		L-pipecolate oxidase	
G18UU-22789-MONOMER	G18UU-22789		Cyclic nucleotide-binding protein	
G18UU-22788-MONOMER	G18UU-22788		putative hydrolase	
G18UU-22787-MONOMER	G18UU-22787		conserved protein of unknown function	
G18UU-22786-MONOMER	G18UU-22786		Arylesterase	
G18UU-22785-MONOMER	G18UU-22785		conserved exported protein of unknown function	
G18UU-22784-MONOMER	G18UU-22784		putative Transporter	
G18UU-22783-MONOMER	G18UU-22783		proline-specific outer membrane porin D	
G18UU-22782-MONOMER	G18UU-22782		Transcriptional regulator, LysR family	
G18UU-22781-MONOMER	G18UU-22781		putative hydrolase	
G18UU-22780-MONOMER	G18UU-22780		conserved protein of unknown function	
G18UU-22778-MONOMER	G18UU-22778		glutathione-regulated potassium/H+ antiporter	
G18UU-22777-MONOMER	G18UU-22777		Transcriptional regulator, AraC family	
G18UU-22776-MONOMER	G18UU-22776		Transcriptional regulator, AraC family	
G18UU-22775-MONOMER	G18UU-22775		putative hydrolase	
G18UU-22774-MONOMER	G18UU-22774		Sensor histidine kinase/GAF domain protein	
G18UU-22773-MONOMER	G18UU-22773		DNA-binding response regulator, LuxR family	
G18UU-22772-MONOMER	G18UU-22772		Response regulator	
G18UU-22771-MONOMER	G18UU-22771		putative ATP-dependent chelatase	
G18UU-22770-MONOMER	G18UU-22770		protein of unknown function	
G18UU-22769-MONOMER	G18UU-22769		conserved protein of unknown function	
G18UU-22768-MONOMER	G18UU-22768		protein of unknown function	
G18UU-22767-MONOMER	G18UU-22767		conserved protein of unknown function	
G18UU-22766-MONOMER	G18UU-22766		conserved protein of unknown function	
G18UU-22765-MONOMER	G18UU-22765		conserved protein of unknown function	
G18UU-22764-MONOMER	G18UU-22764		conserved protein of unknown function	
G18UU-22763-MONOMER	G18UU-22763		conserved protein of unknown function	
G18UU-22762-MONOMER	G18UU-22762		protein of unknown function	
G18UU-22761-MONOMER	G18UU-22761		activator of NRII(GlnL/NtrB) phosphatase	
G18UU-22760-MONOMER	G18UU-22760		ammonium transporter AmtB	
G18UU-22759-MONOMER	G18UU-22759		conserved protein of unknown function	
G18UU-22758-MONOMER	G18UU-22758		putative (S)-2-haloacid dehalogenase	
G18UU-22757-MONOMER	G18UU-22757		Tyrosine recombinase XerC	
G18UU-22756-MONOMER	G18UU-22756		conserved protein of unknown function	
G18UU-22755-MONOMER	G18UU-22755		diaminopimelate epimerase	
G18UU-22754-MONOMER	G18UU-22754		diaminopimelate decarboxylase	
G18UU-22753-MONOMER	G18UU-22753		Lipoprotein, Lppl family	
G18UU-22752-MONOMER	G18UU-22752		frataxin	
G18UU-22751-MONOMER	G18UU-22751		conserved protein of unknown function	
G18UU-22749-MONOMER	G18UU-22749		regulator of nucleotide diphosphokinase	
G18UU-22748-MONOMER	G18UU-22748		adenylate cyclase	
G18UU-22747-MONOMER	G18UU-22747		conserved protein of unknown function, UPF0178 family	
G18UU-22746-MONOMER	G18UU-22746		putative hydrolase	
G18UU-22745-MONOMER	G18UU-22745		conserved membrane protein of unknown function	
G18UU-22744-MONOMER	G18UU-22744		DedA family protein	
G18UU-22743-MONOMER	G18UU-22743		Polyphosphate kinase	
G18UU-22742-MONOMER	G18UU-22742		exopolyphosphatase	
G18UU-22741-MONOMER	G18UU-22741		thioredoxin I	
G18UU-22739-MONOMER	G18UU-22739		transcription termination factor Rho	
G18UU-22738-MONOMER	G18UU-22738		3-octaprenyl-4-hydroxybenzoate carboxy-lyase	
G18UU-22737-MONOMER	G18UU-22737		Oxidoreductase, iron-sulfur-binding	
G18UU-22736-MONOMER	G18UU-22736		ChaC-related protein	
G18UU-22735-MONOMER	G18UU-22735		Alcohol dehydrogenase, zinc-containing	
G18UU-22734-MONOMER	G18UU-22734		conserved exported protein of unknown function	
G18UU-22733-MONOMER	G18UU-22733		conserved protein of unknown function of phage origin	
G18UU-22732-MONOMER	G18UU-22732		putative translation related protein	
G18UU-22731-MONOMER	G18UU-22731		ribosome-associated ATPase	
G18UU-22730-MONOMER	G18UU-22730		putative translation-related protein	
G18UU-22729-MONOMER	G18UU-22729		conserved protein of unknown function	
G18UU-22728-MONOMER	G18UU-22728		conserved protein of unknown function	
G18UU-22727-MONOMER	G18UU-22727		5-formyltetrahydrofolate cyclo-ligase	
G18UU-22725-MONOMER	G18UU-22725		putative cell division protein	
G18UU-22724-MONOMER	G18UU-22724		conserved protein of unknown function	
G18UU-22723-MONOMER	G18UU-22723		conserved protein of unknown function, UPF0149 family	
